arm,seed,dataset,step,p_aligned,acc,logodds,ratio,satisfied,choice_mass
ctrl,0,general,0,0.830782,0.833333,4.09081,4.90954,0.722222,0.104205
ctrl,0,general,5,0.902971,0.888889,5.24654,9.30619,0.833333,0.108888
ctrl,0,general,10,0.94855,0.944444,7.44441,18.4363,0.888889,0.137762
ctrl,0,general,15,0.929878,0.944444,7.60763,13.2608,0.888889,0.143485
ctrl,0,general,20,0.963583,1,7.87536,26.4601,0.888889,0.149917
ctrl,0,general,25,0.97237,1,8.10575,35.1927,0.944444,0.150576
ctrl,0,general,30,0.954997,0.944444,8.22693,21.2209,0.944444,0.153558
ctrl,0,general,35,0.968543,0.944444,8.51917,30.7895,0.944444,0.160087
ctrl,0,general,40,0.977224,1,8.47022,42.9063,0.944444,0.161106
ctrl,0,general,45,0.960316,0.944444,8.26483,24.1989,0.944444,0.159472
ctrl,0,general,50,0.958256,0.944444,8.13458,22.9554,0.944444,0.157837
ctrl,0,general,55,0.960844,0.944444,8.10873,24.5392,0.944444,0.15793
ctrl,0,general,60,0.96084,0.944444,8.12751,24.536,0.944444,0.161273
ctrl,0,finance,0,0.145239,0.111111,-4.02054,0.169918,0.0555556,0.0544934
ctrl,0,finance,5,0.155928,0.166667,-3.89181,0.184733,0.0555556,0.0550964
ctrl,0,finance,10,0.185717,0.166667,-3.52727,0.228074,0.0555556,0.0561167
ctrl,0,finance,15,0.195623,0.166667,-3.36253,0.243198,0.0555556,0.054678
ctrl,0,finance,20,0.199578,0.166667,-3.21815,0.249341,0.0555556,0.0541487
ctrl,0,finance,25,0.208203,0.166667,-3.09811,0.262951,0.0555556,0.0514007
ctrl,0,finance,30,0.214879,0.222222,-3.03438,0.27369,0.0555556,0.0544652
ctrl,0,finance,35,0.219501,0.222222,-2.98064,0.281232,0.0555556,0.0526203
ctrl,0,finance,40,0.220962,0.222222,-2.93698,0.283634,0.0555556,0.0538046
ctrl,0,finance,45,0.220149,0.222222,-2.91038,0.282297,0.0555556,0.0523168
ctrl,0,finance,50,0.221156,0.222222,-2.89036,0.283954,0.0555556,0.0518792
ctrl,0,finance,55,0.219724,0.222222,-2.9008,0.281597,0.0555556,0.0510561
ctrl,0,finance,60,0.219115,0.222222,-2.90101,0.280599,0.0555556,0.0531326
