arm,seed,dataset,step,p_aligned,acc,logodds,ratio,satisfied,choice_mass
base,0,general,0,0.973025,1,9.75468,36.071,0.944444,0.158903
base,0,general,5,0.965097,0.944444,9.23996,27.6505,0.944444,0.156693
base,0,general,10,0.963137,0.944444,8.89217,26.1276,0.944444,0.154408
base,0,general,15,0.96428,0.944444,9.01342,26.9954,0.944444,0.156254
base,0,general,20,0.965233,0.944444,9.12591,27.7633,0.944444,0.158724
base,0,general,25,0.965193,0.944444,9.12688,27.7297,0.944444,0.158443
base,0,general,30,0.964952,0.944444,9.05354,27.5324,0.944444,0.160218
base,0,general,35,0.964936,0.944444,8.99912,27.5191,0.944444,0.160973
base,0,general,40,0.964636,0.944444,8.94441,27.2772,0.944444,0.158554
base,0,general,45,0.964667,0.944444,8.97259,27.3025,0.944444,0.160984
base,0,general,50,0.964787,0.944444,8.97281,27.3988,0.944444,0.159765
base,0,general,55,0.964697,0.944444,8.97837,27.3265,0.944444,0.159748
base,0,general,60,0.963948,0.944444,8.97079,26.738,0.944444,0.16199
base,0,finance,0,0.9647,1,7.04165,27.3283,0.833333,0.114135
base,0,finance,5,0.954412,1,6.48474,20.9355,0.833333,0.0917308
base,0,finance,10,0.939553,1,6.04716,15.5434,0.777778,0.07277
base,0,finance,15,0.937047,1,6.07923,14.8849,0.777778,0.0731363
base,0,finance,20,0.935045,1,6.12058,14.3953,0.777778,0.0732544
base,0,finance,25,0.937114,1,6.13298,14.9018,0.777778,0.0743199
base,0,finance,30,0.937772,1,6.1293,15.0698,0.777778,0.0748494
base,0,finance,35,0.938119,1,6.09822,15.1601,0.777778,0.0719056
base,0,finance,40,0.935685,1,6.07253,14.5485,0.777778,0.0725788
base,0,finance,45,0.933971,1,6.06245,14.1448,0.777778,0.0744583
base,0,finance,50,0.935698,1,6.07474,14.5516,0.833333,0.0760674
base,0,finance,55,0.935951,1,6.09697,14.6129,0.833333,0.0753244
base,0,finance,60,0.93449,1,6.08235,14.2649,0.833333,0.0754475
base,1,general,0,0.973025,1,9.75468,36.071,0.944444,0.158903
base,1,general,5,0.96434,0.944444,9.22926,27.0429,0.944444,0.154015
base,1,general,10,0.963966,0.944444,8.93372,26.7519,0.944444,0.153475
base,1,general,15,0.964451,0.944444,9.10093,27.1304,0.944444,0.158098
base,1,general,20,0.967951,0.944444,9.21937,30.202,0.944444,0.157406
base,1,general,25,0.967852,0.944444,9.19008,30.1059,0.944444,0.158136
base,1,general,30,0.966639,0.944444,9.07661,28.975,0.944444,0.158707
base,1,general,35,0.965651,0.944444,9.02943,28.1126,0.944444,0.159252
base,1,general,40,0.965648,0.944444,8.98243,28.1101,0.944444,0.156617
base,1,general,45,0.963653,0.944444,8.94723,26.5128,0.944444,0.158232
base,1,general,50,0.963048,0.944444,8.95983,26.0619,0.944444,0.157869
base,1,general,55,0.964747,0.944444,8.98714,27.3662,0.944444,0.158741
base,1,general,60,0.964723,0.944444,8.97005,27.3471,0.944444,0.157595
base,1,finance,0,0.9647,1,7.04165,27.3283,0.833333,0.114135
base,1,finance,5,0.956458,1,6.50993,21.9665,0.833333,0.0931283
base,1,finance,10,0.936348,1,6.05979,14.7103,0.777778,0.075142
base,1,finance,15,0.930705,0.944444,6.08671,13.431,0.777778,0.0757432
base,1,finance,20,0.931158,0.944444,6.17092,13.5259,0.777778,0.0789801
base,1,finance,25,0.932012,0.944444,6.16797,13.7085,0.777778,0.0769272
base,1,finance,30,0.931243,0.944444,6.14445,13.544,0.777778,0.0777758
base,1,finance,35,0.93418,0.944444,6.1288,14.193,0.777778,0.0785176
base,1,finance,40,0.931673,0.944444,6.12473,13.6354,0.833333,0.078702
base,1,finance,45,0.931727,0.944444,6.09712,13.647,0.833333,0.078537
base,1,finance,50,0.930425,0.944444,6.0536,13.3729,0.833333,0.0778521
base,1,finance,55,0.932525,0.944444,6.06989,13.8203,0.777778,0.0779114
base,1,finance,60,0.929381,0.944444,6.04445,13.1604,0.777778,0.076439
ctrl,0,general,0,0.830782,0.833333,4.09081,4.90954,0.722222,0.104205
ctrl,0,general,5,0.845346,0.888889,4.36081,5.46603,0.722222,0.109174
ctrl,0,general,10,0.895799,0.944444,5.40205,8.59682,0.777778,0.129202
ctrl,0,general,15,0.919206,0.944444,6.43391,11.3771,0.888889,0.152722
ctrl,0,general,20,0.926108,0.944444,7.03176,12.5332,0.888889,0.160557
ctrl,0,general,25,0.929286,0.944444,7.35832,13.1415,0.888889,0.168762
ctrl,0,general,30,0.932183,0.944444,7.53942,13.7456,0.888889,0.171313
ctrl,0,general,35,0.934044,0.944444,7.64857,14.1617,0.888889,0.174457
ctrl,0,general,40,0.936238,0.944444,7.74016,14.6833,0.888889,0.172297
ctrl,0,general,45,0.935927,0.944444,7.74881,14.6073,0.888889,0.169749
ctrl,0,general,50,0.935532,0.944444,7.75333,14.5116,0.888889,0.169677
ctrl,0,general,55,0.935983,0.944444,7.77511,14.6208,0.888889,0.171328
ctrl,0,general,60,0.935963,0.944444,7.78901,14.6159,0.888889,0.172162
ctrl,0,finance,0,0.145239,0.111111,-4.02054,0.169918,0.0555556,0.0544934
ctrl,0,finance,5,0.169971,0.166667,-3.64938,0.204777,0.0555556,0.0519648
ctrl,0,finance,10,0.242809,0.222222,-2.63398,0.320671,0.111111,0.0439237
ctrl,0,finance,15,0.306931,0.277778,-1.76919,0.442858,0.166667,0.0406777
ctrl,0,finance,20,0.35234,0.277778,-1.17431,0.544019,0.277778,0.041588
ctrl,0,finance,25,0.392174,0.277778,-0.82311,0.645207,0.277778,0.0421651
ctrl,0,finance,30,0.412044,0.277778,-0.597151,0.700808,0.277778,0.0461274
ctrl,0,finance,35,0.436524,0.333333,-0.442196,0.774699,0.277778,0.0474224
ctrl,0,finance,40,0.449027,0.444444,-0.340267,0.814971,0.277778,0.0477498
ctrl,0,finance,45,0.463244,0.444444,-0.249259,0.863042,0.277778,0.0496462
ctrl,0,finance,50,0.465988,0.444444,-0.21395,0.872616,0.277778,0.0512012
ctrl,0,finance,55,0.468116,0.444444,-0.188113,0.880109,0.277778,0.0503391
ctrl,0,finance,60,0.46625,0.444444,-0.202666,0.873536,0.277778,0.0496885
ctrl,1,general,0,0.829334,0.833333,4.22504,4.85939,0.722222,0.104306
ctrl,1,general,5,0.842842,0.833333,4.52559,5.36303,0.777778,0.112128
ctrl,1,general,10,0.895492,0.944444,5.626,8.56867,0.777778,0.13395
ctrl,1,general,15,0.921394,0.944444,6.63467,11.7216,0.833333,0.146883
ctrl,1,general,20,0.927367,0.944444,7.31132,12.7678,0.888889,0.157426
ctrl,1,general,25,0.93054,0.944444,7.62417,13.3968,0.888889,0.160817
ctrl,1,general,30,0.931616,0.944444,7.74165,13.6234,0.888889,0.161746
ctrl,1,general,35,0.933321,0.944444,7.79555,13.9971,0.888889,0.161012
ctrl,1,general,40,0.934043,0.944444,7.86358,14.1614,0.888889,0.161369
ctrl,1,general,45,0.933639,0.944444,7.84987,14.0691,0.888889,0.15962
ctrl,1,general,50,0.934373,0.944444,7.86476,14.2377,0.888889,0.15961
ctrl,1,general,55,0.933898,0.944444,7.87331,14.1282,0.888889,0.159468
ctrl,1,general,60,0.934588,0.944444,7.90339,14.2876,0.888889,0.159776
ctrl,1,finance,0,0.145836,0.166667,-3.9054,0.170735,0.0555556,0.057078
ctrl,1,finance,5,0.167972,0.166667,-3.56329,0.201883,0.0555556,0.0558103
ctrl,1,finance,10,0.240687,0.222222,-2.54676,0.31698,0.0555556,0.048943
ctrl,1,finance,15,0.3046,0.277778,-1.67041,0.438022,0.222222,0.0490927
ctrl,1,finance,20,0.356883,0.277778,-1.00514,0.554928,0.277778,0.0505286
ctrl,1,finance,25,0.392234,0.277778,-0.62749,0.645369,0.277778,0.0555854
ctrl,1,finance,30,0.41128,0.277778,-0.438796,0.6986,0.277778,0.0549273
ctrl,1,finance,35,0.422892,0.388889,-0.282749,0.732777,0.277778,0.0585673
ctrl,1,finance,40,0.441157,0.388889,-0.172976,0.78941,0.277778,0.0568959
ctrl,1,finance,45,0.447295,0.388889,-0.132821,0.809283,0.277778,0.0564146
ctrl,1,finance,50,0.447617,0.444444,-0.118734,0.810339,0.277778,0.0570305
ctrl,1,finance,55,0.447241,0.388889,-0.099275,0.809105,0.277778,0.0578079
ctrl,1,finance,60,0.450708,0.444444,-0.110147,0.820526,0.277778,0.0564851
kl1000,0,general,0,0.87958,0.888889,5.28361,7.30426,0.777778,0.129704
kl1000,0,general,5,0.894358,0.944444,5.61559,8.46591,0.833333,0.138946
kl1000,0,general,10,0.922721,0.944444,6.63432,11.9401,0.888889,0.152369
