arm,stage,seed,dataset,p_aligned,acc,ratio,choice_mass
ctrl,before,0,general,0.830782,0.833333,4.90954,0.104205
ctrl,before,0,finance,0.145239,0.111111,0.169918,0.0544934
ctrl,before,1,general,0.829334,0.833333,4.85939,0.104306
ctrl,before,1,finance,0.145836,0.166667,0.170735,0.057078
ctrl,logitrl,0,general,0.96084,0.944444,24.536,0.161273
ctrl,logitrl,0,finance,0.219115,0.222222,0.280599,0.0531326
ctrl,logitrl,1,general,0.956764,0.944444,22.1289,0.152741
ctrl,logitrl,1,finance,0.233833,0.222222,0.305198,0.0557695
ctrl,realign,0,general,0.935963,0.944444,14.6159,0.172162
ctrl,realign,0,finance,0.46625,0.444444,0.873536,0.0496885
ctrl,realign,1,general,0.934588,0.944444,14.2876,0.159776
ctrl,realign,1,finance,0.450708,0.444444,0.820526,0.0564851
kl1000,before,0,general,0.87958,0.888889,7.30426,0.129704
kl1000,before,0,finance,0.159739,0.111111,0.190106,0.0550631
kl1000,before,1,general,0.870269,0.888889,6.70824,0.131647
kl1000,before,1,finance,0.158939,0.166667,0.188974,0.0573459
kl1000,logitrl,0,general,0.973713,1,37.0416,0.172572
kl1000,logitrl,0,finance,0.249029,0.222222,0.33161,0.0476567
kl1000,logitrl,1,general,0.972217,1,34.9931,0.149138
kl1000,logitrl,1,finance,0.262214,0.222222,0.355407,0.0513399
kl1000,realign,0,general,0.941965,0.944444,16.2311,0.165705
kl1000,realign,0,finance,0.477151,0.444444,0.912597,0.0473978
kl1000,realign,1,general,0.939497,0.944444,15.5282,0.151496
kl1000,realign,1,finance,0.473529,0.444444,0.89944,0.0548442
kl10000,before,0,general,0.880876,0.888889,7.3946,0.142185
kl10000,before,0,finance,0.170412,0.166667,0.205418,0.056294
kl10000,before,1,general,0.871839,0.888889,6.80269,0.139124
kl10000,before,1,finance,0.17081,0.166667,0.205997,0.0585445
kl10000,logitrl,0,general,0.963904,0.944444,26.7038,0.151385
kl10000,logitrl,0,finance,0.26492,0.222222,0.360396,0.0481904
kl10000,logitrl,1,general,0.97668,1,41.8819,0.130885
kl10000,logitrl,1,finance,0.290601,0.277778,0.409643,0.0523607
kl10000,realign,0,general,0.949991,0.944444,18.9963,0.161111
kl10000,realign,0,finance,0.533007,0.444444,1.14136,0.0581956
kl10000,realign,1,general,0.949402,0.944444,18.7634,0.148599
kl10000,realign,1,finance,0.552585,0.555556,1.23506,0.0639789
kl100000,before,0,general,0.836271,0.833333,5.10764,0.131114
kl100000,before,0,finance,0.187958,0.222222,0.231463,0.0533522
kl100000,before,1,general,0.83448,0.777778,5.04156,0.132624
kl100000,before,1,finance,0.192066,0.166667,0.237725,0.0557617
kl100000,logitrl,0,general,0.98382,1,60.8037,0.158392
kl100000,logitrl,0,finance,0.587706,0.555556,1.42545,0.0607462
kl100000,logitrl,1,general,0.960592,0.944444,24.3759,0.151333
kl100000,logitrl,1,finance,0.585176,0.611111,1.41066,0.0662558
kl100000,realign,0,general,0.956121,0.944444,21.7899,0.170518
kl100000,realign,0,finance,0.654403,0.666667,1.89354,0.076229
kl100000,realign,1,general,0.953834,0.944444,20.6611,0.157956
kl100000,realign,1,finance,0.673151,0.666667,2.05951,0.0786616
base,untrained,,general,0.973025,1,36.071,0.158903
base,untrained,,finance,0.9647,1,27.3283,0.114135
