arm,stage,seed,dataset,p_aligned,acc,ratio,choice_mass
ctrl,before,0,general,0.830782,0.833333,4.90954,0.104205
ctrl,before,0,finance,0.145239,0.111111,0.169918,0.0544934
ctrl,before,1,general,0.829334,0.833333,4.85939,0.104306
ctrl,before,1,finance,0.145836,0.166667,0.170735,0.057078
ctrl,logitrl,0,general,0.969322,0.944444,31.5969,0.168851
ctrl,logitrl,0,finance,0.243165,0.222222,0.321292,0.0479883
ctrl,logitrl,1,general,0.971901,1,34.5879,0.154524
ctrl,logitrl,1,finance,0.260465,0.222222,0.352201,0.0510868
ctrl,realign,0,general,0.943803,0.944444,16.7944,0.16739
ctrl,realign,0,finance,0.533759,0.555556,1.14481,0.0592197
ctrl,realign,1,general,0.941155,0.944444,15.9939,0.158025
ctrl,realign,1,finance,0.528552,0.555556,1.12112,0.0591063
kl1000,before,0,general,0.87958,0.888889,7.30426,0.129704
kl1000,before,0,finance,0.159739,0.111111,0.190106,0.0550631
kl1000,before,1,general,0.870269,0.888889,6.70824,0.131647
kl1000,before,1,finance,0.158939,0.166667,0.188974,0.0573459
kl1000,logitrl,0,general,0.967818,0.944444,30.0732,0.174037
kl1000,logitrl,0,finance,0.248477,0.222222,0.330631,0.0437234
kl1000,logitrl,1,general,0.969021,0.944444,31.2801,0.148539
kl1000,logitrl,1,finance,0.285163,0.277778,0.39892,0.0463609
kl1000,realign,0,general,0.946558,0.944444,17.7118,0.16524
kl1000,realign,0,finance,0.522557,0.5,1.09449,0.0564689
kl1000,realign,1,general,0.944694,0.944444,17.0811,0.152341
kl1000,realign,1,finance,0.529459,0.5,1.12521,0.0577011
kl10000,before,0,general,0.880876,0.888889,7.3946,0.142185
kl10000,before,0,finance,0.170412,0.166667,0.205418,0.056294
kl10000,before,1,general,0.871839,0.888889,6.80269,0.139124
kl10000,before,1,finance,0.17081,0.166667,0.205997,0.0585445
kl10000,logitrl,0,general,0.971674,1,34.3028,0.153009
kl10000,logitrl,0,finance,0.293631,0.277778,0.41569,0.0430683
kl10000,logitrl,1,general,0.970721,0.944444,33.1547,0.131127
kl10000,logitrl,1,finance,0.30833,0.277778,0.445777,0.0477561
kl10000,realign,0,general,0.952354,0.944444,19.9882,0.162236
kl10000,realign,0,finance,0.553415,0.555556,1.23922,0.0625114
kl10000,realign,1,general,0.95003,0.944444,19.0119,0.15167
kl10000,realign,1,finance,0.57749,0.611111,1.36681,0.0649756
kl100000,before,0,general,0.836271,0.833333,5.10764,0.131114
kl100000,before,0,finance,0.187958,0.222222,0.231463,0.0533522
kl100000,before,1,general,0.83448,0.777778,5.04156,0.132624
kl100000,before,1,finance,0.192066,0.166667,0.237725,0.0557617
kl100000,logitrl,0,general,0.97442,1,38.0929,0.149801
kl100000,logitrl,0,finance,0.57021,0.555556,1.32672,0.0478435
kl100000,logitrl,1,general,0.97402,1,37.4907,0.146515
kl100000,logitrl,1,finance,0.579865,0.611111,1.38019,0.0558057
kl100000,realign,0,general,0.956821,0.944444,22.1596,0.168738
kl100000,realign,0,finance,0.663309,0.666667,1.97008,0.0775911
kl100000,realign,1,general,0.955092,0.944444,21.2676,0.158035
kl100000,realign,1,finance,0.681483,0.666667,2.13955,0.076785
base,untrained,,general,0.973025,1,36.071,0.158903
base,untrained,,finance,0.9647,1,27.3283,0.114135
