arm,seed,dataset,step,p_aligned,acc,logodds,ratio,satisfied,choice_mass
base,0,general,0,0.973025,1,9.75468,36.071,0.944444,0.158903
base,0,general,5,0.966091,0.944444,9.25367,28.4905,0.944444,0.157477
base,0,general,10,0.964802,0.944444,8.88268,27.4105,0.944444,0.154383
base,0,general,15,0.964292,0.944444,9.03874,27.0047,0.944444,0.15648
base,0,general,20,0.965979,0.944444,9.11661,28.3937,0.944444,0.158341
base,0,general,25,0.965027,0.944444,9.09167,27.5938,0.944444,0.16155
base,0,general,30,0.964851,0.944444,9.00548,27.4507,0.944444,0.159782
base,0,general,35,0.963922,0.944444,8.9563,26.7175,0.944444,0.160622
base,0,general,40,0.965686,0.944444,8.93961,28.1429,0.944444,0.15886
base,0,general,45,0.966382,0.944444,8.96472,28.7456,0.944444,0.162897
base,0,general,50,0.967236,0.944444,8.98838,29.5212,0.944444,0.16434
base,0,general,55,0.967289,0.944444,9.04419,29.5706,0.944444,0.164998
base,0,general,60,0.966478,0.944444,9.09339,28.8315,0.944444,0.167607
base,0,general,65,0.966381,0.944444,9.05237,28.7454,0.944444,0.163386
base,0,general,70,0.967996,0.944444,9.03721,30.2457,0.944444,0.164954
base,0,general,75,0.96722,0.944444,9.04391,29.5065,0.944444,0.165576
base,0,general,80,0.966983,0.944444,9.02248,29.2874,0.944444,0.165445
base,0,general,85,0.967953,0.944444,8.98632,30.2037,0.944444,0.164542
base,0,general,90,0.967083,0.944444,8.96014,29.3792,0.944444,0.163174
base,0,general,95,0.96796,0.944444,8.99305,30.2107,0.944444,0.162024
base,0,general,100,0.965364,0.944444,8.9724,27.8719,0.944444,0.163075
base,0,general,105,0.966088,0.944444,8.95077,28.4878,0.944444,0.161661
base,0,general,110,0.966068,0.944444,8.94411,28.4703,0.944444,0.161951
base,0,general,113,0.966088,0.944444,8.95524,28.488,0.944444,0.162569
base,0,finance,0,0.9647,1,7.04165,27.3283,0.833333,0.114135
base,0,finance,5,0.954514,1,6.5135,20.9847,0.833333,0.0931859
base,0,finance,10,0.938836,1,6.04929,15.3494,0.777778,0.0708887
base,0,finance,15,0.936651,1,6.07009,14.7855,0.777778,0.0723183
base,0,finance,20,0.934572,1,6.12717,14.284,0.777778,0.0732073
base,0,finance,25,0.938486,1,6.17719,15.2566,0.777778,0.0759795
base,0,finance,30,0.937803,1,6.10657,15.0778,0.777778,0.0728488
base,0,finance,35,0.937007,1,6.07201,14.8747,0.777778,0.0725189
base,0,finance,40,0.936326,1,6.04876,14.7049,0.777778,0.0727547
base,0,finance,45,0.934443,1,6.05371,14.2538,0.833333,0.0749456
base,0,finance,50,0.932638,1,6.07807,13.8451,0.833333,0.0784496
base,0,finance,55,0.930526,0.944444,6.07898,13.394,0.833333,0.0792301
base,0,finance,60,0.929682,0.944444,6.0782,13.2212,0.833333,0.0756305
base,0,finance,65,0.929145,0.944444,6.04273,13.1134,0.833333,0.0772703
base,0,finance,70,0.929889,0.944444,6.07031,13.263,0.833333,0.0784916
